     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   27.,    0.0,   0.23,   0.17, -0.028, -0.020, -0.027, -0.038, -0.0080, 
   97.,    0.0,   0.22, -0.085,  -0.19,  -0.17, -0.016, -0.026, -0.020, 
   35.,    4.0,    0.0,   0.36,   0.65,  0.043,   0.24,   0.24,   0.28, 
   58.,    2.0,   0.62,   0.38,    0.0,    0.0,  0.063,    0.0,  0.036, 
   38.,    2.0,   0.88,  -0.19,    0.0,  -0.20,  -0.19,  -0.25,  -0.18, 
   63.,    4.0,    0.0,   0.28,   0.56, -0.031,   0.24,   0.24,   0.18, 
   5.0,    1.0,   0.50,   0.10,    0.0,  0.029,  0.099,   0.10,  0.048, 
   46.,    3.0,    1.0, -0.0060, -0.0020, -0.0072, -0.016, -0.016, -0.011, 
   21.,    0.0,   0.15, -0.018,  0.057,  0.010,  0.054,  0.043,  0.031, 
   82.,    3.0,    1.0, -0.0060, -0.00050, 0.00051, -0.018, -0.018, -0.0091, 
   24.,    0.0,   0.16, -0.030, -0.021, -0.040,  0.038,  0.027,  0.036, 
   74.,    5.0,    2.7,   -1.1,  -0.97,  -0.55,    1.7,    1.2,   -1.6, 
   87.,    2.0,   0.62,   0.12,   0.12,  -0.14,  0.063,    0.0,  0.066, 
   72.,    1.0,   0.70,    0.0,   0.10,  0.072,  -0.10,  -0.10, -0.080, 
   84.,    2.0,   0.62,   0.12,    0.0,   0.15,  0.063,    0.0,  0.065, 
   35.,    3.0,    1.0, -0.0045, 0.00050, -0.0035, -0.016, -0.017, -0.0068, 
   72.,    1.0,   0.70,    0.0,   0.10,  0.072,  -0.10,  -0.10, -0.080, 
   82.,    0.0,   0.20,  0.030,  0.018, 0.0059, -0.0018, -0.012,  0.018, 
   78.,    3.0,   0.98, -0.0067, -0.0090,  0.011, 0.0017, 0.0010, -0.0034, 
   5.0,    0.0,   0.28,  -0.13, -0.0084, -0.063, -0.080, -0.090, -0.067, 
   27.,    4.0,   0.65,  -0.29,  0.080,  -0.50,  -0.41,  -0.44,  -0.29, 
   89.,    2.0,   0.62,    0.0,   0.12, -0.0037,  0.063,    0.0,  0.074, 
   21.,    3.0,   0.96,  0.012, -0.00050, -0.0052,  0.021,  0.020,  0.026, 
   26.,    2.0,   0.88,  -0.19,  -0.12,  -0.15,  -0.19,  -0.25,  -0.17, 
   22.,    5.0,    5.8,  -0.25,    2.2,    1.9,   -1.4,   -1.9,   0.76, 
   3.0,    0.0,   0.19, -0.060, -0.068, -0.048,  0.011, 0.00099, -0.019, 
   14.,    2.0,   0.62,   0.12,    0.0,  0.020,  0.063,    0.0,  0.073, 
   64.,    3.0,   0.99, -0.0080, 0.0030, 0.0074, -0.013, -0.013, -0.0073, 
   91.,    2.0,   0.38,   0.25,   0.50,   0.38,   0.32,   0.25,   0.34, 
   52.,    0.0,   0.17, -0.038,  0.043,   0.13,  0.033,  0.022,  0.029, 
   44.,    3.0,   0.98, -0.00075, 0.0080, 0.00038, 0.0062, 0.0055, 0.0020, 
   64.,    5.0,    5.5,  -0.28,  -0.27,   -1.8,   -1.2,   -1.6, -0.087, 
   31.,    0.0,   0.17, -0.040,  0.038,  0.024,  0.032,  0.021,  0.029, 
   32.,    0.0,   0.22, 0.00019, -0.092,  -0.14, -0.019, -0.029, 0.00081, 
   45.,    2.0,   0.62,   0.19,    0.0,    0.0,  0.063,    0.0,  0.039, 
   14.,    4.0,   0.39, -0.070, -0.048,   0.49,  -0.15,  -0.19,  -0.17, 
   78.,    5.0,    3.4,  -0.58,   -1.2,   -2.4,   0.94,   0.44,   -1.3, 
   73.,    1.0,   0.50,   0.10,  -0.10,  0.035,  0.099,   0.10,  0.051, 
   42.,    2.0,   0.88,  -0.19,    0.0, -0.099,  -0.19,  -0.25,  -0.20, 
   34.,    3.0,    1.0, -0.0050, 0.0010, 0.00021, -0.017, -0.017, -0.0038, 
   86.,    3.0,    1.0, -0.012, -0.0035, -0.0060, -0.017, -0.017, -0.017, 
