     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   23.,    0.0,    0.0,   0.12,  0.095,  0.095,   0.11,   0.16,   0.12,   0.23,   0.19, 
   62.,    5.0,   0.43,  0.012,  0.035,   0.15, -0.066,  0.081, -0.053,  -0.11,  -0.15, 
   61.,    5.0,   0.37, -0.061, -0.081, -0.081,  -0.12, -0.072,  -0.12, -0.054, -0.085, 
   16.,    2.0,   0.44,  0.028,  0.075,  0.076,  0.021,  0.036,  0.056, -0.098,  -0.14, 
   33.,    1.0,   0.29, -0.079,  -0.23,  -0.29, -0.016,  -0.14, -0.059, -0.016, -0.059, 
   5.0,    1.0,   0.16, -0.034,  0.043,  0.023,   0.13, -0.0070,  0.077,   0.11,  0.077, 
   84.,    2.0,   0.25, 0.0038,  0.013,  0.019,  0.017,  0.014, -0.074,  0.095,  0.061, 
   95.,    2.0,   0.38, -0.030, -0.016, -0.056,  0.037,  0.016,  -0.12, -0.037, -0.076, 
   25.,    5.0,   0.26, -0.052,  0.043,  0.050,  0.044,    0.0, -0.035,  0.056,  0.026, 
   12.,    4.0,   0.52, -0.035,  -0.11,  -0.19, -0.052, -0.076, -0.072,  0.014,    0.0, 
   63.,    1.0,   0.34,  -0.17,  -0.19,  -0.24,  -0.18,  -0.21,  -0.34, -0.071,  -0.11, 
   80.,    2.0,   0.36, 0.0064,  0.030,  0.049,   0.13,  0.087, -0.014, -0.016, -0.055, 
   41.,    1.0,   0.35,  0.019,  -0.16,  -0.16,  -0.16,  -0.10,  0.024, -0.074,  -0.12, 
   81.,    0.0,   0.17,   0.13,   0.28,   0.25,   0.30,   0.30,  0.015,  0.058,  0.015, 
   79.,    5.0,   0.27,  0.084,  0.050,  0.050,   0.13, -0.051, -0.059,  0.046,  0.016, 
   88.,    1.0,   0.20,  0.011, -0.040,  -0.10,  0.033, 0.0085,  0.076,  0.077,  0.042, 
   45.,    3.0,   0.23,   0.11,  0.053,  0.063,  0.062,  0.098,  0.087,   0.11,  0.073, 
   98.,    0.0,   0.13, -0.011, -0.034, 0.0040,  0.026, -0.00050,  0.061,   0.10,  0.061, 
   35.,    3.0,   0.34, -0.0060, -0.010,  0.067, -0.030, -0.0075, -0.073, -0.0038, -0.041, 
   71.,    2.0,   0.25,  0.010, 0.0085,  -0.12,  0.069,  0.065,  0.048,  0.091,  0.057, 
   4.0,    5.0,   0.55,  0.020,   0.16,   0.16,  0.032, -0.010, 0.0070,  -0.24,  -0.27, 
   42.,    1.0,   0.54,  -0.18,  -0.29,  -0.33,  -0.40,  -0.40,  -0.33,  -0.27,  -0.31, 
   50.,    0.0,   0.26, -0.088, -0.087,  -0.16,  -0.11,  -0.14,  -0.12, -0.031, -0.073, 
   96.,    3.0,   0.45,  0.027,  0.067,   0.10,   0.14,  0.042,  0.032,  -0.11,  -0.15, 
   68.,    2.0,   0.39,  0.030,  0.015,  0.055,   0.35,   0.12,  0.018, -0.046, -0.085, 
   99.,    1.0,    0.0,  0.056,   0.16,    0.0,   0.24,   0.12,    0.0,   0.28,   0.24, 
   33.,    0.0,   0.16, -0.040, -0.063,  -0.16, 0.0065, -0.054,  -0.16,  0.075,  0.032, 
   95.,    2.0,   0.38, -0.030, -0.016, -0.056,  0.037,  0.016,  -0.12, -0.037, -0.076, 
   92.,    0.0,   0.42,  -0.20,  -0.25,  -0.26,  -0.18,  -0.29,  -0.24,  -0.19,  -0.23, 
   42.,    5.0,   0.27,  0.088,  0.064,  0.064,   0.37,   0.22, 0.0060,  0.052,  0.022, 
   53.,    0.0,   0.19, -0.0027, -0.014, -0.064,  0.051, 0.0037,  0.098,  0.042,    0.0, 
   99.,    5.0,   0.29, -0.090, -0.041, -0.041, -0.024,  0.032,  0.035,  0.026, -0.0060, 
   34.,    1.0,    0.0,   0.16,   0.16,   0.16,  0.094,  0.094,   0.16,   0.28,   0.24, 
   83.,    5.0,   0.33,   0.14,   0.24,   0.25,   0.16,   0.17,  0.099, -0.015, -0.046, 
   22.,    2.0,   0.40, -0.036, -0.016, -0.0050, -0.018, -0.010, -0.062, -0.062,  -0.10, 
   47.,    4.0,   0.52, -0.022, -0.039, -0.069,  0.025, -0.0050, 0.0070,  0.019, 0.0050, 
   81.,    0.0,   0.17,   0.13,   0.28,   0.25,   0.30,   0.30,  0.015,  0.058,  0.015, 
   21.,    3.0,   0.20, -0.013, -0.017,  0.015,  0.035,  0.055,  0.087,   0.13,  0.098, 
   25.,    4.0,   0.59, -0.016, -0.096,  -0.12, -0.010,  0.043, -0.046, -0.057, -0.070, 
