     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   41.,    4.0,  0.019,  0.044,    0.0,    0.0,    0.0,  0.019,  0.039,  0.078,  0.039, 
   6.0,    2.0,   0.12, -0.011,  0.021,    0.0, -0.039, -0.0078,    0.0,  0.052,    0.0, 
   38.,    2.0,   0.12,  0.023,  0.031, -0.062, -0.062, -0.062, -0.094,  0.052,    0.0, 
   62.,    0.0,  0.064,   0.14,   0.44,   0.44,   0.30,   0.16,   0.53,  0.073, 0.0087, 
   78.,    4.0,    0.0,  0.063,  0.019,    0.0,  0.019,  0.038,  0.019,  0.097,  0.058, 
   16.,    0.0,   0.15,  0.049,   0.15,   0.15,   0.22,   0.14,    0.0, -0.014, -0.078, 
   78.,    5.0,    0.0,  0.058, 0.0057,    0.0,  0.017,  0.033,  0.011,   0.11,  0.045, 
   13.,    3.0,   0.12,  0.031, -0.031,    0.0, -0.031,    0.0,    0.0, -0.016, -0.094, 
   31.,    0.0,   0.20, -0.033, -0.046, -0.046,  -0.12, -0.026,    0.0, -0.068,  -0.13, 
   37.,    1.0,   0.25, 0.0033,   0.50,   0.75,    0.0,   0.13,   0.75,  -0.16,  -0.19, 
   39.,    0.0,  0.022,  0.098,   0.48,   0.48, 0.0033, 0.0017,    0.0,   0.12,  0.051, 
   93.,    3.0,    0.0,  0.053,  0.016,    0.0,    0.0,  0.016,    0.0,   0.11,  0.031, 
   53.,    2.0,   0.25, -0.035,  0.039, -0.086,  -0.13,  -0.14,    0.0, -0.074,  -0.13, 
   8.0,    5.0,  0.091,  0.068,    0.0,    0.0,    0.0,    0.0,    0.0,  0.020, -0.045, 
   1.0,    1.0,   0.12,  0.017,  0.063,  0.063,   0.13,   0.13,    0.0, -0.029, -0.063, 
   36.,    4.0,  0.019,  0.036,    0.0,    0.0,    0.0,    0.0,    0.0,  0.078,  0.039, 
   2.0,    0.0,   0.53,  -0.37,  -0.26,  -0.26,    0.0,    0.0,    0.0,  -0.40,  -0.46, 
   91.,    4.0,  0.019,  0.044,    0.0,    0.0,  0.019,    0.0,    0.0,  0.078,  0.039, 
   75.,    2.0,   0.50,  -0.15,  -0.13,  -0.13, -0.063,  -0.19,  -0.25,  -0.33,  -0.38, 
   19.,    1.0,  0.029, 0.0032, -0.014, -0.014, -0.023, -0.015, -0.023,  0.066,  0.031, 
   26.,    1.0,   0.12,  0.017, -0.047, -0.063, -0.078, -0.078, -0.063, -0.029, -0.063, 
   36.,    0.0,   0.20, -0.044,  0.095,  0.095, -0.054,  0.087,   0.32, -0.068,  -0.13, 
   10.,    1.0,   0.12, -0.062,    0.0,    0.0, -0.042, -0.083,   0.13, -0.029, -0.063, 
   59.,    0.0,   0.20, -0.028,  0.028,  0.028,  -0.12,  0.056,  -0.11, -0.068,  -0.13, 
   2.0,    3.0,    0.0,  0.087,   0.13,    0.0,    0.0,    0.0,    0.0,   0.11,  0.031, 
   96.,    1.0,  0.022, -0.019, -0.010, -0.018, -0.018, -0.018, -0.016,  0.073,  0.039, 
   96.,    2.0,  0.030,  0.075,  0.039, -0.019,  0.035, -0.0078,  0.094,   0.15,  0.094, 
   54.,    3.0,  0.062,  0.025,   0.19,  0.064, -0.031, -0.055, -0.062,  0.047, -0.031, 
   83.,    2.0,  0.093,  0.054,  0.070,  0.070, 5.0e-05,  0.031,  0.031,  0.084,  0.031, 
   99.,    3.0,   0.50,  -0.22, -0.025, -0.025,  -0.16,  -0.27,  -0.25,  -0.40,  -0.47, 
   17.,    4.0,   0.31,  0.026,  -0.15,  -0.15,  -0.15,  -0.12,  -0.15,  -0.21,  -0.25, 
