     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   76.,    0.0,   0.36,   0.15,  -0.20,  -0.20,  -0.12,  -0.20, -0.070, 
   34.,    4.0,   0.38,    0.0,    0.0, -0.0035,  -0.24,  -0.28,  -0.16, 
   76.,    1.0,  0.022, -0.012, -0.020, 0.0093,  0.066, 0.0073, -0.0047, 
   96.,    1.0,   0.50,  -0.25,  -0.25,  -0.27,  -0.42,  -0.47,  -0.21, 
   41.,    3.0,  0.031, -5.0e-05,    0.0, -0.0034,  0.058,    0.0,  0.055, 
   58.,    1.0, 0.0060,  0.012,    0.0, 8.7e-19,  0.082,  0.023,  0.048, 
   7.0,    0.0, 0.0075,   0.50,    0.0, 0.0034,   0.23,   0.15, -0.061, 
   73.,    1.0,  0.022, 0.0037,    0.0, -0.011,  0.066, 0.0073, -0.020, 
   20.,    5.0,   0.25, -0.062,   0.25,  0.054, -0.087,  -0.12, -0.062, 
   90.,    5.0,   0.42,  -0.13,  -0.27, -0.053,  -0.26,  -0.30,  -0.23, 
   57.,    5.0,  0.031,  0.078,    0.0, -3.5e-18,   0.13,  0.094,  0.094, 
   8.0,    5.0,   0.25,   0.12,    0.0, -5.6e-17, -0.087,  -0.12, -0.034, 
   66.,    3.0,    0.0,  0.016,    0.0, 0.0068,  0.090,  0.031,  0.065, 
   29.,    2.0,  0.077,    0.0,    0.0,  0.028,   0.10,  0.047,  0.019, 
   77.,    5.0,   0.19,  0.027,  -0.15,   0.25, -0.024, -0.063, -0.034, 
   92.,    2.0,  0.062,  0.031,    0.0,   0.13,   0.12,  0.062,  0.091, 
   22.,    2.0,  0.096,  0.067,    0.0,  0.025,  0.084,  0.028,  0.068, 
   25.,    1.0,  0.014, -0.0080, -0.0080, 0.0085,  0.074,  0.015, -0.022, 
   85.,    4.0,  0.094, -0.063,  0.031,  0.020,  0.048,    0.0,  0.037, 
   44.,    0.0,   0.15,   0.36,    0.0, -8.3e-16,  0.093, 0.0088,   0.14, 
   1.0,    0.0,  0.015,   0.49,    0.0, -0.00050,   0.23,   0.14,   0.12, 
   68.,    5.0,   0.19,  -0.13,  -0.11, -0.094, -0.024, -0.063, -0.063, 
   82.,    3.0,  0.031,   0.47,    0.0,   0.18,  0.058,    0.0,  0.043, 
   6.0,    5.0,   0.25, -0.031,    0.0, -0.025, -0.087,  -0.12, -0.034, 
   60.,    3.0,    0.0,  0.031,    0.0,    0.0,  0.090,  0.031,  0.065, 
   81.,    5.0,   0.50,  -0.31,  -0.45,  -0.34,  -0.34,  -0.37,  -0.35, 
   23.,    5.0,   0.50,  -0.31,    0.0,  -0.28,  -0.34,  -0.37,  -0.31, 
   59.,    5.0,  0.031,  0.078,    0.0, -3.5e-18,   0.13,  0.094,  0.094, 
   29.,    5.0,  0.047,  0.066, -0.0078, 0.0046,   0.12,  0.078,   0.10, 
   58.,    0.0,   0.99,  -0.48,    0.0, -1.1e-16,  -0.76,  -0.83,  -0.70, 
   1.0,    5.0,   0.25,    0.0,    0.0, -0.0042, -0.087,  -0.12, -0.035, 
   28.,    2.0,  0.077,    0.0,  0.047,  0.040,   0.10,  0.047,  0.027, 
   99.,    1.0, 0.0010, 0.0020,  0.028, -0.0060,  0.087,  0.028, -0.025, 
   45.,    3.0,  0.035,  0.092,    0.0, -0.0095,  0.054, -0.0039,  0.038, 
   9.0,    2.0,    1.0,    0.0,  -0.50,  -0.40,  -0.83,  -0.88,   0.20, 
   49.,    5.0,  0.063,  0.023, -0.047, -0.018,   0.10,  0.062,   0.11, 
   96.,    0.0,  0.011,   0.49,    0.0, 0.0022,   0.23,   0.14, -0.059, 
   47.,    1.0,  0.029, -0.023, -0.023, -0.023,  0.059,    0.0, -0.0061, 
   27.,    3.0,  0.016, 5.0e-05,    0.0, -0.00051,  0.074,  0.016,  0.049, 
   88.,    1.0,  0.061,    0.0,    0.0,  0.088,  0.027, -0.031,   0.25, 
