     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   16.,    2.0,   0.91, -0.021,  0.053,  0.053,  0.036,  0.011,  0.092,  -0.24,  -0.21, 
   39.,    1.0,    1.0, -0.022, -0.0065, -0.0065, -0.014,  -0.26, -0.015,  -0.20,  -0.15, 
   95.,    1.0,   0.64,  0.078,  0.015,  0.015,   0.10,  0.039,  -0.15,   0.16,   0.21, 
   83.,    0.0,   0.94, -0.0074, -0.056, -0.056,  -0.27,  -0.16, -0.056,  -0.20,  -0.14, 
   0.0,    2.0,   0.65,   0.12,  0.080,  0.080, -0.068,  -0.11,  0.061,  0.022,  0.057, 
   24.,    2.0,   0.94, -0.084,  0.029,  0.029,  0.019, -0.0067, 0.0030,  -0.27,  -0.25, 
   42.,    0.0,    1.0, -0.074, -0.035, -0.035, -0.049,  -0.28, -0.046,  -0.26,  -0.20, 
   30.,    0.0,   0.73, -0.070,  0.058,  0.058,  0.080,  0.052,  0.041,  0.014,  0.078, 
   81.,    1.0,   0.93,  -0.23,  -0.24,  -0.24, -0.067, -0.096, -0.023,  -0.12, -0.075, 
   48.,    2.0,   0.89,  -0.12,  -0.12,  -0.12,  -0.15,  -0.17,  -0.19,  -0.21,  -0.19, 
   86.,    2.0,   0.42,  0.099, -0.062, -0.062,  0.020, -0.020,   0.22,   0.25,   0.28, 
   53.,    0.0,   0.83, -0.052, -0.042, -0.042, -0.0016, -0.010,  0.032, -0.088, -0.025, 
   51.,    2.0,   0.86, -0.028,  0.092,  0.092,  0.031,  0.085, -0.029,  -0.19,  -0.17, 
   72.,    1.0,   0.70, -0.030, -0.078, -0.078,  -0.24,  -0.14,  -0.18,   0.10,   0.15, 
   98.,    2.0,   0.38,  0.034,  0.081,  0.081,   0.15,  0.062,   0.14,   0.29,   0.33, 
   90.,    0.0,   0.38,   0.24,  0.088,  0.088,   0.32,   0.33,  0.059,   0.36,   0.43, 
   21.,    1.0,   0.97, -0.049, -0.083, -0.083, -0.083, -0.074, -0.083,  -0.16,  -0.12, 
   8.0,    1.0,   0.73,  0.025,  0.018,  0.018, 0.0086,  0.049,   0.11,  0.078,   0.13, 
   89.,    0.0,   0.81, -0.058, -0.025, -0.025, 0.0053,  0.011, -0.044, -0.070, -0.0074, 
   57.,    2.0,   0.86, -0.044,  0.019,  0.019,  -0.15,  -0.10,  -0.26,  -0.19,  -0.17, 
   62.,    2.0,   0.83,  0.016,   0.12,   0.12,  0.060,  0.057,  0.032,  -0.16,  -0.14, 
   77.,    0.0,   0.53,  0.025,  -0.27,  -0.27,  -0.13,  0.017, -0.054,   0.21,   0.27, 
   4.0,    1.0,   0.56,   0.21,   0.21,   0.21,   0.21,   0.17,   0.36,   0.25,   0.30, 
   41.,    1.0,   0.87, -0.095, -0.043, -0.043,  -0.23,  -0.12,  0.016, -0.069, -0.023, 
   59.,    0.0,   0.85, -0.069, -0.066, -0.066, -0.0069, -0.012, 0.0074,  -0.11, -0.050, 
   53.,    0.0,   0.83, -0.052, -0.042, -0.042, -0.0016, -0.010,  0.032, -0.088, -0.025, 
   70.,    2.0,   0.81,  -0.15,  -0.26,  -0.26,  -0.12,  -0.15,   0.13,  -0.14,  -0.12, 
   10.,    2.0,   0.50, -0.030, -0.090, -0.090,  -0.20,  -0.22,  -0.10,   0.17,   0.21, 
   16.,    0.0,   0.94, -0.060,  0.016,  0.016, -0.030, -0.017,  0.031,  -0.20,  -0.14, 
   51.,    2.0,   0.86, -0.028,  0.092,  0.092,  0.031,  0.085, -0.029,  -0.19,  -0.17, 
   53.,    1.0,   0.89, -0.048, -0.035, -0.035, -0.023, -0.010, -0.043, -0.089, -0.043, 
   0.0,    0.0,   0.75, -0.034,  0.034,  0.034,  0.038,  0.045,  0.016, -0.0097,  0.055, 
   1.0,    2.0,   0.65,   0.15,  0.062,  0.062,  0.058, -0.057,   0.17,  0.028,  0.063, 
   96.,    0.0,   0.97, -0.085, -0.0032, -0.0032, -0.023, -0.017, -0.031,  -0.23,  -0.17, 
   86.,    2.0,   0.42,  0.099, -0.062, -0.062,  0.020, -0.020,   0.22,   0.25,   0.28, 
   78.,    0.0,   0.73,  -0.14, -0.044, -0.044, -0.019,  -0.11, -0.014,  0.011,  0.075, 
