     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   17.,    1.0,   0.99, -0.065, -0.026, -0.033, -0.074, -0.085, -0.039, 
   60.,    1.0,   0.89, -0.0096,  0.044, -0.043,  0.021,  0.017,  0.013, 
   60.,    0.0,   0.84, -0.027,  0.032,  0.013,  0.028,  0.024, 0.0070, 
   11.,    0.0,   0.94,  0.020,  0.034,   0.14, -0.071, -0.077, -0.012, 
   36.,    1.0,   0.95, -0.047, -0.013, -0.040, -0.034, -0.044, -0.023, 
   9.0,    1.0,   0.94, -1.1e-16,  0.044,  0.019, -0.030, -0.040,  0.014, 
   97.,    0.0,   0.81,  -0.11,  0.011,  0.072,  0.062,  0.057, -0.038, 
   63.,    2.0,   0.76,  0.047, 0.0040, -0.050,  0.077,  0.072,  0.046, 
   49.,    2.0,   0.77,   0.19,   0.13,   0.16,  0.066,  0.061,   0.11, 
   68.,    1.0,   0.89, -0.017,  -0.12,  -0.16,  0.021,  0.017, -0.014, 
   95.,    2.0,   0.61,   0.14, 0.0080, -0.028,   0.23,   0.22,   0.15, 
   75.,    1.0,   0.83,  0.053,  0.091, -0.046,  0.084,  0.080,  0.063, 
   1.0,    2.0,    1.0, -0.038, -0.077, -0.026,  -0.17,  -0.18,  -0.11, 
   57.,    1.0,   0.89, -0.011,  0.068,  0.069,  0.020,  0.016, 0.0084, 
   66.,    0.0,   0.76,  0.044, -0.043,   0.11,   0.11,   0.10,  0.080, 
   1.0,    2.0,    1.0, -0.038, -0.077, -0.026,  -0.17,  -0.18,  -0.11, 
   29.,    2.0,   0.93,  0.032,  -0.11, -0.086, -0.095,  -0.10, -0.051, 
   92.,    0.0,   0.80, -0.046, 0.0052, 0.0036,  0.074,  0.070, -0.026, 
   69.,    0.0,   0.82, -0.021,  0.039,   0.23,  0.053,  0.049,  0.017, 
   42.,    2.0,   0.84, -0.040, -0.0030,  0.038, -0.012, -0.020, -0.068, 
   84.,    1.0,   0.93,  -0.16, -0.056,  0.061, -0.013, -0.024, -0.025, 
   57.,    2.0,   0.77,  0.082,   0.20,   0.14,  0.062,  0.057,  0.048, 
   68.,    1.0,   0.89, -0.017,  -0.12,  -0.16,  0.021,  0.017, -0.014, 
   78.,    2.0,   0.71,  0.039,   0.11,  0.067,   0.12,   0.12,  0.039, 
   33.,    2.0,    1.0,  -0.21,  -0.30,  -0.30,  -0.17,  -0.18,  -0.17, 
   31.,    2.0,   0.97,  -0.12,  -0.20,  -0.27,  -0.14,  -0.15,  -0.14, 
   80.,    2.0,   0.72,  0.027, -0.012,  -0.65,   0.11,   0.10,  0.011, 
   91.,    1.0,   0.82,  0.033,  0.068,  0.038,  0.091,  0.087,  0.068, 
   92.,    2.0,   0.62,   0.13, -0.0080,  -0.26,   0.22,   0.21,   0.13, 
   7.0,    2.0,   0.96,  0.038,  0.027,   0.11,  -0.13,  -0.14, -0.033, 
   55.,    0.0,   0.83, -0.018, -0.013, -0.057,  0.037,  0.033,  0.011, 
   63.,    2.0,   0.76,  0.047, 0.0040, -0.050,  0.077,  0.072,  0.046, 
   99.,    2.0,   0.72,  -0.12, -0.011,  -0.30,   0.11,   0.11,  0.047, 
   98.,    2.0,   0.65, -0.0080,  0.035,  -0.13,   0.18,   0.17,  0.045, 
   88.,    2.0,   0.71,  -0.11,   0.18,   0.12,   0.12,   0.11,  0.017, 
   3.0,    2.0,   0.97,  0.032,  0.018,  0.021,  -0.14,  -0.14, -0.061, 
   7.0,    2.0,   0.96,  0.038,  0.027,   0.11,  -0.13,  -0.14, -0.033, 
   25.,    0.0,   0.92,  0.028,  0.049,  0.047, -0.047, -0.053, -0.0077, 
   67.,    1.0,   0.89, -0.0076, -0.031, -0.057,  0.028,  0.024, 0.0061, 
   20.,    0.0,   0.94,  0.018, 0.0010,  0.015, -0.074, -0.079, -0.015, 
